"10657","7920 West 79th St, Bridgeview, IL, 60455","Match","Exact","7920 W 79TH ST, BRIDGEVIEW, IL, 60455","-87.817266489594,41.747739147022","112214221","R","17","031","820501","4007"
"11988","2520 W National Ave, Milwaukee, WI, 53204-1055","Match","Non_Exact","2520 W NATIONAL AVE, MILWAUKEE, WI, 53204","-87.945347867785,43.0223944364","77740776","R","55","079","015900","1002"
"10656","5701 S Lagrange Rd, Countryside, IL, 60525-4063","Match","Non_Exact","5701 S LAGRANGE RD, COUNTRYSIDE, IL, 60525","-87.868454426066,41.786769105624","111790808","L","17","031","820103","2007"
"11987","2612 W Morgan Ave, Milwaukee, WI, 53221-1442","Match","Non_Exact","2612 W MORGAN AVE, MILWAUKEE, WI, 53221","-87.947234528723,42.981307333117","77751219","R","55","079","020100","2006"
"10659","7620 W 95th St, Hickory Hills, IL, 60457","Match","Exact","7620 W 95TH ST, HICKORY HILLS, IL, 60457","-87.809613984099,41.718775479421","111810059","R","17","031","823703","3024"
"10658","7701 South Harlem, Bridgeview, IL, 60455","Match","Non_Exact","7701 S HARLEM AVE, BRIDGEVIEW, IL, 60455","-87.799822189343,41.752941310995","605296729","L","17","031","820901","1085"
"11989","4275 S 27th St, Greenfield, WI, 53221-1832","Match","Non_Exact","4275 S 27TH ST, GREENFIELD, WI, 53221","-87.948714383164,42.967218980751","638600934","R","55","079","120400","2000"
"11980","1550 S 108th, West Allis, WI, 53214","Match","Non_Exact","1550 S 108TH ST, WEST ALLIS, WI, 53214","-88.046670444623,43.014178369442","77729269","L","55","079","100900","1005"
"10651","1505 Butterfield Road, Aurora, IL, 60504","Match","Non_Exact","1505 BUTTERFIELD RD, AURORA, IL, 60502","-88.278906506803,41.81315055504","648543378","R","17","089","852806","1063"
"11982","12324 W North Ave, Wauwatosa, WI, 53226","Match","Exact","12324 W NORTH AVE, WAUWATOSA, WI, 53226","-88.066092071965,43.060003597708","612191621","R","55","079","090300","2025"
"10650","2230 S Eola Road, Aurora, IL, 60503","No_Match"
"11981","4550 S 108th St, Greenfield, WI, 53228-2507","Match","Non_Exact","4550 S 108TH ST, GREENFIELD, WI, 53228","-88.047817387667,42.961018185981","77745566","L","55","079","120101","1003"
"10653","31 E 63rd St, Westmont, IL, 60559-2601","Match","Non_Exact","31 E 63RD ST, WESTMONT, IL, 60559","-87.9737401033,41.773614476652","112581071","L","17","043","845506","1002"
