id,street,city,state,zip
1,346 w magnolia ave,Auburn,Alabama,36832
2,300 20th st s,Birmingham,Alabama,35233
3,3220 morrow rd,Birmingham,Alabama,35235
4,4719 highway 280,Birmingham,Alabama,35242
5,1821 cherokee ave sw,Cullman,Alabama,35055
6,1759 montgomery hwy,Hoover,Alabama,35244
7,5900 university dr nw ste d2,Huntsville,Alabama,35806
8,3871 airport blvd,Mobile,Alabama,36608
9,7765 airport blvd d100,Mobile,Alabama,36608
10,2560 berryhill rd ste c,Montgomery,Alabama,36117
11,2125 interstate dr,Opelika,Alabama,36801
12,2566 cobbs ford rd,Prattville,Alabama,36066
13,1203 university blvd,Tuscaloosa,Alabama,35401
14,1800 mcfarland blvd e ste 608,Tuscaloosa,Alabama,35404
15,1031 montgomery hwy ste 111,Vestavia Hills,Alabama,35216
16,9925 w mcdowell rd ste 101,Avondale,Arizona,85392
17,944 s watson rd,Buckeye,Arizona,85326
18,1775 e florence blvd ste 1,Casa Grande,Arizona,85122
19,5355 e carefree hwy bldg e,Cave Creek,Arizona,85331
20,2895 s alma school rd ste 1,Chandler,Arizona,85286
21,3395 w chandler blvd suite 1,Chandler,Arizona,85226
22,890 n 54th st ste 5,Chandler,Arizona,85226
23,1111 s plaza way,Flagstaff,Arizona,86001
24,1084 s gilbert rd ste 104,Gilbert,Arizona,85296
25,1546 n cooper rd,Gilbert,Arizona,85233
26,2224 e williams field rd ste 109,Gilbert,Arizona,85295
27,3757 s gilbert rd ste 110,Gilbert,Arizona,85297
28,20004 n 67th ave suite 500,Glendale,Arizona,85308
29,5849 w northern ave ste 500,Glendale,Arizona,85301
30,5880 w thunderbird rd ste 1,Glendale,Arizona,85306
31,7700 w arrowhead towne ctr ste 2067,Glendale,Arizona,85308
32,9410 w hanna ln ste a101,Glendale,Arizona,85305
33,1560 n litchfield rd,Goodyear,Arizona,85395
34,18725 s nogales hwy,Green Valley,Arizona,85614
35,3455 n stockton hill rd ste c,Kingman,Arizona,86409
36,55 lake havasu ave s ste m,Lake Havasu City,Arizona,86403
37,5130 w baseline rd ste 105,Laveen,Arizona,85339
38,5940 w arizona pavillions dr ste 110,Marana,Arizona,85743
39,21423 n john wayne pkwy ste 105,Maricopa,Arizona,85139
40,1229 e mckellips rd ste 102,Mesa,Arizona,85203
41,1335 s alma school rd ste 105,Mesa,Arizona,85210
42,1411 s power rd ste 103,Mesa,Arizona,85206
43,1955 s signal butte rd ste 101,Mesa,Arizona,85209
44,2849 n power rd ste 101,Mesa,Arizona,85215
